sequence_index,test_id,state_id,profile_id,status
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,1
4,5,0,0,0
5,6,80,0,0
6,7,98,0,0
7,8,173,1,0
8,9,164,1,0
9,10,0,0,0
10,11,25,0,0
11,12,25,0,0
12,13,25,1,0
13,14,17,1,0
14,15,17,1,0
15,16,17,2,0
16,17,104,2,0
17,18,104,2,0
18,19,104,3,0
19,1000,40,0,0
20,1001,36,0,0
21,1002,100,0,0
22,1003,100,1,0
23,1004,54,1,0
24,1005,117,1,0
25,1006,37,0,0
26,1007,166,0,1
27,1008,37,0,0
28,1009,57,0,0
29,1010,85,2,0
30,1011,166,2,0
31,1012,38,2,0
32,1013,101,0,0
33,1014,85,0,0
34,1016,133,0,0
35,1017,138,0,0
36,1018,154,3,0
37,1019,182,3,0
38,1020,134,3,0
39,1021,148,2,0
40,1022,164,2,0
41,1023,181,2,1
42,1024,133,0,0
43,1025,150,0,0
44,1026,168,0,0
45,1027,185,2,0
46,1028,70,2,0
47,1029,89,2,0
48,1030,166,3,0
49,1031,180,3,0
50,1032,160,3,0
51,1033,165,0,0
52,1034,186,0,0
53,1035,191,0,0
54,1036,160,1,0
55,1037,165,1,0
56,1038,106,1,0
57,1039,111,0,1
58,1040,176,0,0
59,1041,165,0,0
60,1042,186,2,0
61,1043,175,2,0
62,1044,144,2,0
63,1045,181,0,0
64,1046,170,0,0
65,1048,27,0,0
66,1049,197,0,0
67,1050,91,2,0
68,1051,16,2,0
69,1052,177,2,0
70,1053,118,0,0
71,1054,176,0,0
72,1055,172,0,1
73,1056,76,0,0
74,1057,50,0,0
75,1058,223,3,0
76,1059,2,3,0
77,1060,71,3,0
78,1061,112,0,0
79,1062,168,0,0
80,1063,237,0,0
